Title,Course Code,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
Optical Spectroscopic Imaging,ENG EC 556,,,,,,"Graduate Prerequisites: (CASPY212) EK 125 or equivalent Matlab; PY 212 or equivalent knowledge of light and waves. Suggested: EC 562, EC 555. - This introductory graduate-level course aims to teach students how electromagnetic waves and various forms of molecular spectroscopy can be used to study a complex biological system by pushing the physical limits on engineering system design.The course will cover fundamental concepts of optical spectroscopy and microscopy, followed by specific topics covering fluorescence-based, absorption-based, and scattering-based spectroscopic imaging. In addition, this course will provide in-depth discussions of linear and nonlinear spectroscopic imaging in the aspects of theory, instrumentation, image data analysis and enabling applications. Students will learn how to give a concise and informative presentation of a recent literature to the class. Students will be able to challenge their creativity in designing advanced imaging instrument of data analysis methods as part of their course assignments. The students will learn how to write and present a convincing proposal for the required final project to be designed by interdisciplinary teams formed among the students. Same as ENGBE 556. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Fourier Optics in Engineering,ENG EC 562,CAS MA 225,ENG EK 103,CAS PY 313,CAS PY 314,ENG EK 381,"Undergraduate Prerequisites: (CASMA225 & ENGEK103 & CASPY313 & CASPY314 & ENGEK381 & ENGEC401) Proficiency in Matlab programming is expected as well as a background knowledge in electromagnetics. Undergraduate students must talk to the instructor before registering. - The goal of this course is to present a coherent formulation of wave propagation, radiation and diffraction phenomena in arbitrary linear systems for the engineering design of optical devices in strong partnership with computer simulations and engineering-led design projects. The course will introduce students to the fundamental techniques that are necessary for the quantitative analysis of optics- based engineering systems and devices. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Electromagnetics and Photonics,ENG EC 565,CAS PY 212,CAS MA 226,,,,"Undergraduate Prerequisites: (CASPY212 & CASMA226) ; Undergraduate Corequisites: (ENGEC401) - Graduate Prerequisites: Familiarity with undergraduate electromagnetics - This course familiarizes the student with fundamental concepts in electromagnetics and photonics that govern the generation, propagation, and reception of fields and waves in the optical and radio-frequency domains. Topics include the formulation of Maxwell's equations; propagation in free-space, waveguides, and dispersive or anisotropic media, including metamaterials; lightwave interactions at interfaces; radiation and scattering theory for antennas and from apertures. There will be a strong emphasis on connecting these theoretical concepts to current and emerging applications and technologies. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Lasers and Applications,ENG EC 570,ENG EC 455,,,,,"Undergraduate Prerequisites: (ENGEC455) - Review of wave optics. Gaussian, Hermite-Gaussian, Laguerre-Gaussian, and Bessel optical beams. Planar- and spherical-mirror resonators; microresonators. Photons and photon streams. Energy levels; absorption, spontaneous emission, and simulated emission. Thermal and scattered light. Laser amplification and gain saturation. Laser oscillation. Common lasers and introduction to pulsed lasers. Photon interactions in semiconductors. LEDs, laser diodes, quantum-confined lasers, and microcavity lasers. Introductoin to photon detectors. Laboratory experiments: beam optics; longitudinal laser modes; laser-diode output characteristics. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Digital VLSI Circuit Design,ENG EC 571,ENG EC 311,ENG EC 410,,,,"Undergraduate Prerequisites: (ENGEC311 & ENGEC410) - Graduate Prerequisites: (ENGEC605) or instructor consent - Very-large-scale integrated circuit design. Review of FET basics. Functional module design, including BiCMOS, combinational and sequential logic, programmable logic arrays, finite-state machines, ROM, and RAM. Fabrication techniques, layout strategies, scalable design rules, design-rule checking, and guidelines for testing and testability. Analysis of factors affecting speed of charge transfer, power requirements, control and minimization of parasitic effects, survey of VLSI applications. Extensive CAD laboratory accompanies course. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computational Methods in Materials Science,ENG EC 572,,,,,,"Graduate Prerequisites: (ENGEC577) consent of instructor - Introduction to computational materials science. Multi-scale simulation methods; electronic structure, atomistic, micro-structure, continuum, and mathematical analysis methods; rate processes and rare events. Materials defect theory; modeling of crystal defects, solid micro-structures, fluids, polymers, and bio-polymers. Materials scaling theory: phase transition, dimensionality, and localization. Perspectives on predictive materials design. Topics covered include tight binding theory, density functional theory, and many-body perturbation theory. Lectures provide the theoretical framework for computation. Same as CAS CH 455, GRS CH 572, ENG MS 508. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Physics of Semiconductor Materials,ENG EC 574,CAS PY 313 OR ENG EC 410,,,,,"Undergraduate Prerequisites: (CASPY313 OR ENGEC410) or equivalent - This course teaches the relevant notions of quantum mechanics and solid state physics necessary to understand the operation and the design of modern semiconductor devices. Specifically, this course focuses on the engineering aspects of solid state physics that are important to study the electrical and optical properties of semiconductor materials and devices. Particular emphasis is placed on the analysis of the electronic structure of semiconductor bulk systems and low-dimensional structures, the study of the carrier transport properties and the calculation of the optical response that are relevant to the design and optimization of electronics and photonics semiconductor devices. The students will learn to apply the quantum mechanical formalism to the solution of basic engineering device problems (quantum wells, wires, and dots, 2D electron gas) and to perform numerical calculation on more complex systems (band structure calculation of bulk and low dimensional systems). Same as ENG MS 574. Students may not receive credits for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Semiconductor Devices,ENG EC 575,ENG EC 410,ENG EC 455,ENG EC 574,CAS PY 313,,"Undergraduate Prerequisites: (ENGEC410 & ENGEC455 & ENGEC574 & CASPY313) or equivalent. - Fundamentals of carrier generation, transport, recombination, and storage in semiconductors. Physical principles of operation of the PN junction, metal-semiconductor contact, bipolar junction transistor, MOS capacitor, MOSFET (Metal Oxide Semiconductor Field Effect Transistor), JFET (Junction Field Effect Transistor), and bipolar junction transistor. Develops physical principles and models that are useful in the analysis and design of integrated circuits. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Electronic Optical and Magnetic Properties of Materials,ENG EC 577,"CAS PY 313,",CAS MA 225 OR CAS MA 226,,,,"Undergraduate Prerequisites: (CASPY313) or equivalent, and CAS MA 225 or CAS MA 226 - Signals and systems is highly recommended. This course provides an in-depth analysis of solid-state physics as it pertains to materials science and electrical engineering applications. Students will develop an understanding of the theory of crystal structures and their determination via diffraction, as well as the thermal, electrical, and optical properties of materials that arise from these structures. Same as ENG MS 577. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Fabrication Technology for Integrated Circuits,ENG EC 578,ENG EC 410SPECIAL,,,,,"Undergraduate Prerequisites: (ENGEC410) Senior standing or permission of the instructor. ; Undergraduate Corequisites: (ENGEC410) - Presentation of fabrication procedures for silicon-integrated circuits: physical properties of bulk and epitaxially grown silicon; silicon processing, such as oxidation, diffusion, epitaxy, deposition, and ion implantation; silicon crystallography, anisotropic etching, photolithography, piezorestivity, and chemical and plasma techniques. The limitations these processes impose on the design of bipolar and MOS devices and integrated circuits are discussed. Design of an integrated circuit and the required processing. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Analog VLSI Circuit Design,ENG EC 580,ENG EC 412,,,,,"Undergraduate Prerequisites: (ENGEC412) - Anatomy of an operational amplifier using chip design techniques. Applications of op amps in wave-shaping circuits, active filters including capacitive switching. Analog multiplexing and data acquisition circuits, A/D, D/A, S/H are examined. Frequency selective circuits and interface circuits such as optocouplers are analyzed. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Power Electronics for Energy systems,ENG EC 583,ENG EC 410,,,,,"Undergraduate Prerequisites: (ENGEC410) - Introduction to power electronics with emphasis on conversion circuits for energy systems. DC to DC conversion using buck, boost, and buck-boost converters. DC to AC inverters. Connection to power grid. Properties of MOS transistors used for high power conversion applications. Properties of magnetic elements and interactions with power circuits. Applications of power electronic circuits to energy systems, including solar cell installations, wave and wind power, and electric vehicles. High frequency inductors and transformers. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Quantum Engineering & Technology (QET),ENG EC 585,,,,,,"Prerequisites: CAS MA 225 (Multivariate Calculus), Linear Algebra, ENG EK 125 (Introduction to Programming for Engineers), ENG EK103 (Computational Linear Algebra), CAS PY 313 / 314 (Waves and Modern Physics). Background knowledge in classical electrodynamics, semiconductors physics, and elementary quantum mechanics.

This course introduces graduate students to Quantum Engineering and Technology (QET) by providing a comprehensive and rigorous discussion of the basic principles and engineering design concepts of quantum coherent structures and devices for communications, computation, simulation, metrology, and sensing. The course will provide the mathematical foundation, selected design methods, and in-depth discussions of engineering device implementations of coherent quantum systems, with emphasis on quantum optical ones. The course provides a broad yet rigorous training in quantum mechanics for engineering students interested in understanding both the technical applications and the broader societal impact of quantum principles in technology. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Photonics Lab I,ENG EC 591,CAS PY 313,,,,,Undergraduate Prerequisites: (CASPY313) ; Undergraduate Corequisites: (ENGEC562) - Introduction to optical measurements. Laser safety issues. Laboratory experiments: introduction to lasers and optical alignment; interference; diffraction and Fourier optics; polarization components; fiber optics; optical communications; beam optics; longitudinal laser modes. Optical simulation software tools. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
Product Design in Electrical and Computer Engineering,ENG EC 601,SPECIAL,,,,,"Undergraduate Prerequisites: Graduate Standing or permission of instructor. - Engineers influence their community, society and the world. Engineers build products and services that can enhance people's lives. The product starts with an idea and is delivered through research (technical and societal), design, implementation, testing and support. During this class, students will experience all of this. The course provides design and practical insights into building products that involve WEB and mobile app development, data simulation, analysis and modeling, cloud computing, signal processing and/or computer vision. In the class, we work on how to take an idea and concept and translate it into product requirements. Afterwards, we translate the product requirements into system and engineering requirements. We also discuss solution selection techniques. We then work on implementing our ideas into systems and verify that they address the product requirements and fulfill the concept we started with. During the class, we go over how to choose solutions to build our products. We also discuss real product realization, implementations and tradeoffs. The class is taught via an example product and the class sessions are interactive. Students are divided into groups where they work in parallel on their projects during class sessions and hackathons. Teams define their target audience, product mission, requirements and features. The class adopts agile software development based on a two-week sprint. Students present their sprint results to the class. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Design by Software,ENG EC 602,SPECIAL,,,,,"Undergraduate Prerequisites: Graduate standing or permission of instructor. - Software plays a central role in all aspects of electrical and computer engineering. This course will provide the foundation for effectively using software as a key part of a career as a professional electrical or computer engineer. Fundamentals of software development systems: system languages, high-level object-oriented languages, and computational languages. Data structures and algorithms in problem analysis and design. Strategies for designing software and designing with software. Software design and development: methodologies, principles and practice. Formalizing software: management, requirements, specifications, testing. Survey of software applications in ECE, including real-time systems, the web, networked systems, audio, graphics, and video systems, research and engineering analysis, consumer electronics and computing, instrumentation and measurement, design, modeling, prototyping, simulation, optimization and information analysis. Students can choose projects and assignments with application to/inspired by/drawn from a broad array of ECE fields including the traditional areas of electro-physics/photonics, computer engineering, and information and data science. Open to graduate students only. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computer Engineering Fundamentals,ENG EC 605,SPECIAL,,,,,"Undergraduate Prerequisites: Graduate standing or permission of the instructor. - This is an introductory course to computer engineering, focusing on the hardware/software interface, and presenting a bottom-up view of a computer system. Topics include logic design: binary arithmetic, combinational and sequential logic. Computer organization: assembly language programming, CPU design, and memory systems. Introduction to compilers, operating systems, and computer networks. Open to graduate students only. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Optimization Theory 2,ENG EC 674,,,,,,"This course is an introduction to optimization problems and algorithms emphasizing problem formulation, basic methodologies and the underlying mathematical structures. We will cover the classical theory as well as the state of the art. The major topics we will cover are: 1. Theory and algorithms for linear programming. 2. Introduction to combinatorial problems and methods for handling intractable problems. 3. Introduction to nonlinear programming. 4. Introduction to network optimization. Optimization techniques have many applications in science and engineering. To name a few: * Optimal routing in communication networks. * Transmission scheduling and resource allocation in sensor networks. * Production planning and scheduling in manufacturing systems. * Fleet management. * Air traffic flow management by airlines. * Optimal resource allocation in manufacturing and communication systems. * Optimal portfolio selection. * Analysis and optimization of fluxes in metabolic networks. * Protein docking. Prerequisites: Working knowledge of Linear Algebra and some degree of mathematical maturity. Same as ENG EC 674, ENG SE 524, ENG EC 674. Students may not receive credits for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Advanced Topics in Electrical and Computer Engineering,ENG EC 700,SPECIAL,,,,,Undergraduate Prerequisites: Graduate standing or consent of instructor. - Advanced topics of current interest in electrical and computer engineering. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
Dynamic Programming and Reinforcement Learning,ENG EC 710,ENG EK 500ENG EK 381,ENG EC 402 OR ENG EC 501,,,,"Undergraduate Prerequisites: (ENGEK500) ENGEK381 and ENG EC402 or ENG EC501. - This course covers the fundamentals of sequential decision making in both known and unknown environments through dynamic programming and reinforcement learning. The first part of the course delves into selecting optimal permissible actions upon observing a system state with established system evolution rules. This section examines finite and infinite horizon stochastic dynamic systems, introducing methods like value iteration, policy iteration, and linear programming solution approaches. Subsequently the course shifts to strategies for optimal action selection under uncertain stochastic system dynamics, covering techniques such as temporal differences, Q-learning, policy gradient, actor-critic, neural network/deep-learning-based reinforcement learning, and federated learning. This course is cross-listed as ENG ME 710 and ENG SE 710. Note: Credit is granted for only one of these courses. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Advanced Digital Signal Processing,ENG EC 716,ENG EC 516,,,,,"Undergraduate Prerequisites: (ENGEC516) - Selected topics from time-frequency distributions, parametric signal modeling, high-resolution spectral estimation, multi-rate signal processing, multidimensional signal processing, adaptive signal processing, alternative algorithms for DFT computation, symbolic and knowledge based signal processing. Application examples chosen from speech, image, communication, and biomedical applications. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Digital Video Processing,ENG EC 720,ENG EC 516 OR ENG EC 505 OR ENG EC 520,,,,,"Undergraduate Prerequisites: (ENGEC516 OR ENGEC505 OR ENGEC520) or equivalent - Review of sampling/filtering in multiple dimensions, human visual system, fundamentals of information theory. Motion analysis: detection, estimation, segmentation, tracking. Image sequence segmentation. Spectral analysis of image sequences. Video enhancement: noise reduction, super-resolution. Video compression: transformation, quantization, entropy coding, error resilience. Video compression standards (H.26X and MPEG families). Future trends in image sequence compression and analysis. Homework and project will require MATLAB programming. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Advances in Cyber and IoT Security,ENG EC 721,,,,,,"Prerequisites: ENGEK, 500 or 505 or 521 and ENGEC541 or instructor consent. - This course covers new developments in cybersecurity, with an emphasis on networking and communications aspects and the Internet of Things (IoT). Selected topics may include threat modeling, game theory for cybersecurity, blockchains, side-channel analysis, network infrastructure security, and security for connected vehicles. The course blends theory and practice and culminates with a research project, building on recent results from the literature. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Quantum Optics,ENG EC 762,"ENG EC 585,",,,,,"Undergraduate Prerequisites: ENGEC585 or equivalent, or consent of instructor. - Review of the postulates of quantum mechanics. Quantization of the electromagnetic field. Coherent, thermal, squeezed, and entangled states, and their associated photon statistics. Interaction of light with matter. Spontaneous and stimulated transitions. Theory of optical detection. Quantum theory of the laser. Interaction of light with two-level atoms, including photon echo and self-induced transparency. Quantum theory of parametric interactions. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Guided-wave Optoelectronics,ENG EC 770,ENG EC 560 OR ENG EC 565,,,,,"Undergraduate Prerequisites: ENGEC560 OR ENGEC565 - Discussion of physics and engineering aspects of integrated optics and optoelectronic devices. Semiconductor waveguides, lasers, and photodetectors. Layered semiconductor structures, quantum wells, and superlattices. QW detectors, emitters, and modulators. OEICs. Photonic switching. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Semiconductor Quantum Structures and Photonic Devices,ENG EC 774,ENG EC 574,,,,,"Undergraduate Prerequisites: (ENGEC574) or equivalent - Optical properties of semiconductors: interband optical transitions; excitons. Low-dimensional structures: quantum wells, superlattices, quantum wires, quantum dots, and their optical properties; intersubband transitions. Lasers: double-heterojunction, quantum-well, quantum-dot, and quantum-cascade lasers; high-speed laser dynamics. Electro-optical properties of bulk and low-dimensional semiconductors; electroabsorption modulators. Detectors: photoconductors and photodiodes; quantum-well infrared photodetectors. Same as ENG MS 774. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
